x,y
0.5813953488372086, 12.444696539988655
2.761627906976745, 12.693916619398763
5.232558139534884, 12.699943278502559
8.13953488372093, 12.95093590470789
10.319767441860467, 13.44405842314238
13.517441860465116, 14.427467385138982
15.988372093023251, 14.921298922291555
18.168604651162788, 15.902226318774822
21.22093023255814, 17.61698808848554
24.27325581395349, 18.600042541123102
27.32558139534884, 20.558706749858203
30.087209302325583, 22.028857061826443
32.41279069767442, 23.01013896766875
35.02906976744186, 24.72383720930233
37.3546511627907, 26.192923993193432
40.116279069767444, 27.419171866137276
43.168604651162795, 28.402226318774836
45.93023255813954, 29.14066931366989
48.54651162790697, 28.903148043108345
50.58139534883721, 27.932501418037447
52.18023255813953, 26.716888825865027
53.77906976744186, 27.208593306863307
55.66860465116279, 29.164421440726045
57.558139534883715, 31.60805445263756
58.72093023255814, 33.31820760068068
60.901162790697676, 35.030842314237105
62.645348837209305, 36.9863159387408
64.53488372093022, 39.917753828701095
66.27906976744185, 41.385422575156
68.16860465116278, 43.585153148043126
69.47674418604652, 46.27127056154284
70.49418604651163, 49.20058139534886
72.09302325581396, 52.13131026659106
72.67441860465118, 55.7912648893931
73.11046511627907, 60.182572319909255
74.12790697674419, 65.06310266591039
74.8546511627907, 69.69902155416904
75.2906976744186, 74.82203630175837
75.87209302325581, 79.94540555870677
76.30813953488374, 85.0684203062961
77.32558139534885, 88.97334089619967
77.90697674418604, 94.58451503119684
79.36046511627907, 98.24659671015317
79.94186046511629, 93.61386840612593
80.37790697674419, 89.71249290981284
80.66860465116278, 85.32295802609191
81.1046511627907, 80.68987521270563
81.5406976744186, 75.56898752127059
82.55813953488371, 79.23000567214976
83.57558139534885, 82.40321894498017
84.44767441860466, 85.33217526942713
85.46511627906978, 81.43221781055021
85.90116279069767, 76.55523255813955
86.33720930232559, 70.45873511060694
87.06395348837208, 59.9727027793534
87.7906976744186, 47.53545093590473
88.66279069767441, 32.90343165059561
89.68023255813952, 18.7595717526943
90.55232558139534, 12.17633295519002
92.44186046511626, 9.010209869540574
94.47674418604652, 12.429807146908686
96.22093023255815, 16.580402722631902
97.81976744186045, 21.46235110606922
99.27325581395348, 25.124432785025547
99.85465116279067, 27.808777651730026
