Date,Open,High,Low,Close,Volume,Market Cap
2014-11-08,0.011045999999999999,0.011045999999999999,0.011013,0.011014,92,"23,124"
2014-11-09,0.011011,0.011017,0.0089,0.009085,148,"23,056"
2014-11-10,0.009059999999999999,0.01184,0.008939,0.011628,686,"19,108"
2014-11-11,0.01155,0.011649,0.009119,0.01084,175,"24,538"
2014-11-12,0.010848,0.012283,0.00499,0.012283,227,"23,276"
2014-11-13,0.012391,0.012712000000000001,0.0044740000000000005,0.010098000000000001,118,"26,770"
2014-11-14,0.010042,0.012505,0.0073549999999999996,0.007359999999999999,289,"21,776"
2014-11-15,0.0073939999999999995,0.011378000000000001,0.007075,0.008655,75,"16,108"
2014-11-16,0.008623,0.03435,0.007297,0.019393999999999998,411,"18,916"
2014-11-17,0.019417,0.023659,0.009059999999999999,0.017763,234,"42,989"
2014-11-18,0.01778,0.017991999999999998,0.007111,0.007136,138,"39,829"
2014-11-19,0.007111,0.015222,0.007111,0.015218,98,"16,116"
2014-11-20,0.015208000000000001,0.015277,0.006784,0.007515000000000001,132,"34,730"
2014-11-21,0.007515000000000001,0.011571,0.005602,0.007017,252,"17,407"
2014-11-22,0.007031999999999999,0.01065,0.005681,0.006038,37,"16,522"
2014-11-23,0.006043,0.010364,0.006043,0.007351000000000001,3,"14,232"
2014-11-24,0.007339,0.010798,0.007333,0.0075379999999999996,20,"17,328"
2014-11-25,0.0075379999999999996,0.010629000000000001,0.006215999999999999,0.006396,114,"17,844"
2014-11-26,0.0064069999999999995,0.011062,0.006249,0.011033,188,"15,194"
2014-11-27,0.011097,0.011201000000000001,0.0063549999999999995,0.010523999999999999,10,"26,327"
2014-11-28,0.010516,0.010537999999999999,0.00613,0.006437000000000001,9,"25,025"
2014-11-29,0.006431999999999999,0.010744,0.006392,0.006853,133,"15,348"
2014-11-30,0.006853,0.006913,0.006397,0.006442,113,"16,419"
2014-12-01,0.006445,0.009489000000000001,0.006418000000000001,0.006462000000000001,61,"15,457"
2014-12-02,0.006462000000000001,0.009219,0.006439,0.006490000000000001,35,"15,511"
2014-12-03,0.006497,0.01024,0.006385,0.006412999999999999,115,"15,618"
2014-12-04,0.006425,0.006475,0.006292,0.006370000000000001,1,"15,480"
2014-12-05,0.006402,0.008721,0.006386,0.008668,6,"15,444"
2014-12-06,0.008665,0.008704,0.006386,0.006409000000000001,5,"20,907"
2014-12-07,0.006409999999999999,0.00645,0.006383,0.0064329999999999995,15,"15,478"
2014-12-08,0.006431,0.00698,0.004111,0.005429,231,"15,555"
2014-12-09,0.0054280000000000005,0.006926000000000001,0.0051990000000000005,0.006886,125,"13,293"
2014-12-10,0.006886,0.007651000000000001,0.0052369999999999995,0.0052369999999999995,221,"16,887"
2014-12-11,0.0052060000000000006,0.00572,0.004555,0.004557,71,"12,905"
2014-12-12,0.004561,0.006881,0.004547,0.004936,38,"11,484"
2014-12-13,0.004933,0.007334,0.004861,0.005558,268,"12,460"
2014-12-14,0.005548,0.0069489999999999994,0.004175,0.00563,192,"14,088"
2014-12-15,0.005625,0.00688,0.004657,0.0046619999999999995,36,"14,483"
2014-12-16,0.004667,0.0046689999999999995,0.0040219999999999995,0.004186,37,"12,063"
2014-12-17,0.004184,0.004275,0.003851,0.003908,6,"10,838"
2014-12-18,0.003908,0.003956,0.0036509999999999997,0.003737,7,"10,123"
2014-12-19,0.0037340000000000003,0.005734,0.0034100000000000003,0.005721,89,"9,674"
2014-12-20,0.005717,0.005778,0.004058,0.004124,5,"14,811"
2014-12-21,0.004118999999999999,0.006808,0.003508,0.004171,188,"10,671"
2014-12-22,0.004174000000000001,0.006465,0.003961,0.004164999999999999,89,"10,813"
2014-12-23,0.0041670000000000006,0.004372,0.004137,0.0043490000000000004,98,"10,795"
2014-12-24,0.004347,0.004353,0.004181,0.0041990000000000005,76,"11,262"
2014-12-25,0.004196,0.004201,0.0035020000000000003,0.0035090000000000004,110,"10,871"
2014-12-26,0.003511,0.005016,0.001005,0.003279,43,"9,095"
